ФИО,Группа крови,Любимая еда,Наличие публикаций,Наличие золотой медали,Участие в олимпиадах НИУ ВШЭ,Мотивационное письмо,Мечта,Участие в подготовительных курсах НИУ ВШЭ,Частота прогулок,Участие во всероссийских олимпиадах,Хобби,Средний балл ЕГЭ,Участие в волонтерской деятельности,Средний балл аттестата,Любимый цвет,Наличие питомца,Target
Соколова Анастасия Павловна,IV,Салат,Да,Нет,Нет,1,Бизнес,-,Несколько раз в неделю,Да,Музыка,41,Да,4.784594418159289,Желтый,Да,0
Григорьев Иван Георгиевич,I,Суши,Да,-,-,1,Семья,Нет,Редко,Да,Туризм,91,Нет,4.60424935069922,Синий,Нет,1
Васильев Олег Максимович,I,Бургер,Нет,Да,Нет,1,Карьерный рост,-,Ежедневно,Да,Музыка,53,Да,4.202582959954703,Синий,Да,0
Волков Константин Егорович,III,Роллы,Нет,Да,Нет,5,Карьерный рост,Да,Ежедневно,Нет,Спортивные игры,44,Нет,4.825720856860896,Красный,Да,0
Смирнова Виктория Артуровна,III,Салат,Нет,Да,Да,5,Карьерный рост,Да,Ежедневно,Нет,Кино,88,Нет,4.091065606423636,Красный,Нет,1
Романов Иван Ильич,II,Пицца,Нет,Нет,Да,2,Путешествия,Да,Несколько раз в неделю,Да,Чтение,46,Да,4.334138455666131,Синий,Нет,1
Зайцева Светлана Олеговна,I,Суши,Нет,Да,Нет,5,Бизнес,Да,Несколько раз в неделю,Нет,Спортивные игры,96,Нет,4.48369965808724,Красный,Нет,0
Соловьева Светлана Ивановна,I,Роллы,Нет,Нет,Да,5,Бизнес,Да,Редко,-,Спортивные игры,74,Нет,4.134617559312626,Красный,Нет,0
Смирнов Дмитрий Иванович,II,Роллы,-,Да,-,2,Бизнес,Да,Несколько раз в неделю,Нет,Спортивные игры,54,Нет,4.859068360009308,Красный,Да,1
Петрова Светлана Алексеевна,III,Бургер,Да,Да,Да,2,Карьерный рост,Нет,Редко,Да,Туризм,96,Да,4.781842300750586,Синий,Нет,1
Кузнецова Юлия Николаевна,III,Роллы,Да,Да,Да,0,Семья,Да,Ежедневно,Нет,Кино,56,Нет,4.325694730108845,Синий,Нет,1
Федорова Людмила Сергеевна,II,Бургер,Нет,Нет,Нет,3,Бизнес,Да,Несколько раз в неделю,Нет,Кино,73,-,4.541144927488356,Черный,Да,0
Новиков Андрей Олегович,IV,Суши,Да,Нет,Нет,2,Наука,Нет,Редко,Да,Спортивные игры,64,-,4.8472648748920975,Желтый,Да,0
Соколова Надежда Дмитриевна,III,Салат,Да,-,Да,4,Путешествия,Да,Несколько раз в неделю,Да,Кино,99,Да,4.553428621613598,Черный,Да,1
Григорьева Виктория Егоровна,IV,Пицца,Да,Нет,Нет,4,Карьерный рост,Да,Ежедневно,Да,Туризм,82,Да,4.050610955045461,Черный,Нет,1
Кузнецова Мария Владимировна,III,Суши,Нет,-,Да,2,Наука,Да,Редко,Да,Туризм,49,Нет,4.795623129293084,Красный,Да,1
Зайцева Светлана Сергеевна,IV,Салат,Нет,Да,Да,3,Бизнес,Да,Несколько раз в неделю,Нет,Кино,62,Да,4.833409251724291,Желтый,Да,1
Григорьева Людмила Вячеславовна,I,Пицца,Да,Нет,Нет,1,Карьерный рост,Нет,Ежедневно,Нет,Спортивные игры,98,Нет,4.010127124160576,Красный,Нет,0
Козлова Светлана Ильинична,III,Салат,Нет,Нет,Нет,0,Бизнес,Нет,Несколько раз в неделю,Да,Музыка,49,-,4.233267895040778,Синий,Да,0
Григорьев Егор Викторович,III,Пицца,-,Нет,Да,3,Наука,Да,Несколько раз в неделю,Да,Чтение,42,-,4.770664429856942,Черный,Нет,1
Васильева Вероника Максимовна,IV,Пицца,Да,Да,Да,0,Семья,Нет,Ежедневно,Да,Туризм,64,Нет,4.304022023993071,Зеленый,Нет,1
Попов Юрий Юрьевич,I,Роллы,Да,-,Да,4,Семья,Нет,Редко,Нет,Кино,98,Нет,4.722590225554148,Синий,Нет,1
Смирнов Николай Сергеевич,II,Суши,Нет,Да,Да,3,Семья,Нет,Ежедневно,Нет,Чтение,77,Нет,4.382019722812771,Синий,Нет,0
Волков Юрий Вячеславович,II,Бургер,Да,Нет,Нет,1,Карьерный рост,Да,Ежедневно,Да,Туризм,56,Нет,4.091065483303814,Зеленый,Да,0
Новикова Дарья Олеговна,III,Салат,Нет,Да,Нет,2,Бизнес,Да,Ежедневно,Нет,Чтение,77,Нет,4.000685545336562,Красный,Да,0
Попова Елена Николаевна,III,Салат,Нет,Да,-,2,Наука,Да,Редко,Да,Спортивные игры,97,Нет,4.518570138228997,Желтый,Да,1
Лебедева Ксения Романовна,IV,Суши,Да,Да,Нет,2,Бизнес,Да,Редко,Нет,Чтение,91,Да,4.858641704073613,Желтый,Да,1
Федоров Виктор Олегович,III,Суши,-,Нет,Да,1,Наука,Нет,Редко,Да,Спортивные игры,52,-,4.118743569702802,Зеленый,Да,1
Васильев Сергей Сергеевич,III,Бургер,Да,Нет,Да,1,Наука,Да,Ежедневно,Да,Туризм,80,Нет,4.9400173419458975,Желтый,Нет,1
Петров Вячеслав Николаевич,III,Бургер,-,Да,Нет,1,Наука,Нет,Несколько раз в неделю,Да,Туризм,50,Да,4.257166762394975,Красный,Нет,0
Соловьев Артур Юрьевич,II,Бургер,Нет,Нет,Да,4,Карьерный рост,Нет,Ежедневно,Нет,Чтение,68,Нет,4.971206932162464,Синий,Нет,0
Иванова Алёна Сергеевна,I,Бургер,Да,Нет,Нет,1,Путешествия,-,Редко,-,Музыка,95,-,4.345600997937695,Черный,Да,1
Иванов Георгий Антонович,IV,Пицца,Да,Да,Нет,4,Бизнес,Да,Несколько раз в неделю,Да,Чтение,68,Да,4.768971154741663,Синий,Нет,1
Смирнова Дарья Дмитриевна,II,Салат,Да,Нет,Нет,3,Путешествия,Нет,Ежедневно,-,Чтение,69,Нет,4.983881172878066,Желтый,Да,0
Борисов Николай Юрьевич,IV,Роллы,-,Да,Да,1,Семья,Нет,Ежедневно,Нет,Туризм,83,-,4.306064412605674,Черный,Да,1
Романов Вячеслав Владимирович,II,Роллы,Да,Да,Нет,5,Семья,Нет,Несколько раз в неделю,Нет,Спортивные игры,70,Да,4.796449992598013,Черный,Да,0
Новикова Анастасия Владимировна,II,Бургер,Нет,Нет,Да,0,Семья,Да,Несколько раз в неделю,Да,Туризм,64,Нет,4.626365017648357,Синий,Да,1
Козлова Татьяна Павловна,III,Пицца,Да,Нет,Да,2,Карьерный рост,-,Редко,Да,Кино,68,Нет,4.693425477177659,Красный,Нет,1
Соловьева Елена Вячеславовна,I,Салат,Нет,Да,Нет,1,Наука,Нет,Ежедневно,Нет,Спортивные игры,86,Нет,4.242913834997563,Желтый,Нет,0
Морозова Ксения Владимировна,II,Пицца,-,Нет,Нет,4,Наука,-,Редко,Нет,Музыка,65,-,4.377486093337706,Желтый,Нет,0
Михайлова Татьяна Георгиевна,III,Суши,Нет,Да,Да,1,Бизнес,Нет,Несколько раз в неделю,Да,Спортивные игры,55,Да,4.639832759894378,Желтый,Нет,1
Соколов Максим Антонович,II,Салат,Нет,Нет,Да,0,Семья,Да,Редко,Да,Музыка,73,Да,4.330336518284072,Красный,Нет,1
Кузнецова Татьяна Романовна,III,Бургер,Нет,Нет,Да,5,Семья,Да,Несколько раз в неделю,Нет,Кино,95,Нет,4.6364546993661415,Красный,Да,1
Козлов Олег Викторович,II,Роллы,Да,Да,Да,0,Путешествия,Нет,Несколько раз в неделю,Нет,Спортивные игры,47,Нет,4.985624675406408,Черный,Нет,0
Соколова Дарья Артуровна,III,Суши,Да,Да,Нет,0,Наука,Да,Ежедневно,-,Туризм,79,-,4.65104164270577,Красный,Нет,1
Лебедева Алиса Олеговна,I,Салат,Да,Нет,Нет,3,Карьерный рост,Нет,Несколько раз в неделю,Да,Спортивные игры,70,Нет,4.6840759821676405,Синий,Нет,0
Сидорова Татьяна Андреевна,III,Роллы,Да,Да,Да,2,Путешествия,Да,Редко,-,Чтение,63,Нет,4.408146025388271,Желтый,Нет,1
Кузнецова Юлия Олеговна,IV,Бургер,Да,Нет,Нет,3,Наука,Нет,Несколько раз в неделю,Да,Музыка,41,Да,4.794677085627422,Черный,Нет,0
Кузнецова Юлия Алексеевна,IV,Пицца,Да,Да,Нет,3,Бизнес,Нет,Ежедневно,-,Чтение,46,Нет,4.869628412478354,Желтый,Нет,0
Зайцева Полина Ильинична,II,Салат,Да,Да,-,2,Семья,Да,Несколько раз в неделю,-,Кино,48,Нет,4.682469596319386,Зеленый,Нет,1
Попова Юлия Алексеевна,IV,Салат,-,Нет,Нет,5,Семья,-,Ежедневно,Да,Кино,44,Нет,4.944258742242909,Красный,Нет,0
Лебедев Виктор Романович,II,Суши,Да,Да,Нет,1,Наука,-,Ежедневно,Да,Туризм,71,Нет,4.829301684499628,Синий,Да,0
Васильева Зоя Романовна,IV,Салат,-,Да,Нет,0,Семья,Нет,Редко,Да,Туризм,57,Нет,4.781399912672316,Синий,Да,0
Морозов Вячеслав Владимирович,II,Салат,-,Да,Нет,2,Наука,Да,Редко,Нет,Туризм,55,-,4.313273237093163,Зеленый,Да,0
Лебедева Ирина Ивановна,I,Роллы,Да,Да,Нет,1,Карьерный рост,Нет,Редко,-,Туризм,91,Нет,4.800049459149205,Синий,Нет,1
Сидорова Татьяна Вячеславовна,III,Роллы,Нет,Да,Нет,2,Наука,-,Ежедневно,Нет,Кино,79,Нет,4.554781808697322,Синий,Да,0
Федоров Виктор Максимович,I,Пицца,-,-,-,2,Семья,Нет,Несколько раз в неделю,Нет,Кино,97,Да,4.191813744348153,Черный,Да,1
Сидоров Андрей Юрьевич,III,Пицца,Нет,Нет,Нет,2,Путешествия,Да,Редко,Нет,Спортивные игры,55,Да,4.33925585305702,Черный,Нет,0
Иванов Сергей Павлович,I,Роллы,-,Нет,Нет,1,Бизнес,Да,Ежедневно,Да,Чтение,85,Да,4.0105240926279775,Черный,Нет,1
Зайцев Андрей Антонович,III,Пицца,Нет,-,-,4,Наука,Нет,Несколько раз в неделю,Нет,Музыка,79,Нет,4.635235684051825,Синий,Нет,0
Романова Екатерина Юрьевна,II,Пицца,Да,Да,Нет,2,Карьерный рост,Да,Несколько раз в неделю,Да,Туризм,69,Да,4.702153266839813,Красный,Нет,1
Козлова Людмила Павловна,I,Суши,-,Нет,-,5,Путешествия,Нет,Несколько раз в неделю,Нет,Туризм,98,Да,4.305840012337704,Красный,Да,0
Соколов Максим Алексеевич,I,Суши,Да,Да,Да,0,Семья,Нет,Несколько раз в неделю,Да,Спортивные игры,96,Да,4.771859438738343,Зеленый,Нет,1
Смирнов Максим Олегович,IV,Пицца,Нет,Да,Да,4,Семья,Да,Несколько раз в неделю,Да,Туризм,59,Нет,4.282600638654046,Черный,Нет,1
Соловьева Виктория Павловна,III,Бургер,Нет,Нет,Да,1,Путешествия,Нет,Несколько раз в неделю,Нет,Музыка,98,Нет,4.911062265611519,Красный,Да,0
Михайлов Вячеслав Романович,II,Суши,-,Да,Нет,5,Путешествия,Да,Редко,Да,Спортивные игры,83,Да,4.214394384309583,Синий,Да,1
Васильева Полина Антоновна,II,Роллы,Нет,Да,Да,5,Бизнес,Нет,Ежедневно,Да,Музыка,61,-,4.802890510293706,Синий,Нет,1
Романов Максим Сергеевич,II,Салат,Да,Да,Да,5,Путешествия,Нет,Несколько раз в неделю,Да,Кино,62,Нет,4.3513521017481445,Синий,Нет,1
Григорьев Константин Алексеевич,III,Салат,Нет,Да,Нет,1,Карьерный рост,Да,Ежедневно,Нет,Кино,60,Да,4.155021826313693,Красный,Да,0
Волкова Полина Павловна,III,Бургер,Нет,Да,-,4,Бизнес,Нет,Редко,Нет,Спортивные игры,61,Нет,4.225341476118756,Красный,Да,0
Романова Светлана Николаевна,I,Суши,Да,Нет,Нет,3,Семья,Нет,Редко,Нет,Кино,54,Нет,4.223227373174276,Желтый,Нет,0
Борисова Валерия Константиновна,III,Пицца,Нет,Да,-,5,Карьерный рост,Да,Ежедневно,Да,Туризм,53,Нет,4.50149821717742,Черный,Нет,1
Михайлов Илья Иванович,II,Суши,Нет,Нет,Да,1,Наука,Да,Несколько раз в неделю,Да,Музыка,92,Нет,4.6940783848506085,Синий,Да,1
Кузнецов Юрий Константинович,III,Суши,Нет,Да,Нет,0,Карьерный рост,Да,Несколько раз в неделю,Да,Кино,67,-,4.856929654936921,Черный,Да,1
Сидоров Николай Константинович,III,Пицца,Да,Да,Нет,0,Карьерный рост,Нет,Несколько раз в неделю,Нет,Музыка,92,Да,4.102476766930517,Красный,Нет,0
Лебедев Артур Ильич,I,Салат,Нет,Нет,Да,1,Карьерный рост,Да,Ежедневно,Да,Кино,64,Нет,4.652090283458032,Красный,Нет,1
Григорьев Олег Владимирович,IV,Салат,Нет,Да,Нет,2,Бизнес,Нет,Редко,Нет,Кино,75,Да,4.781118869385896,Желтый,Да,0
Петрова Анастасия Сергеевна,IV,Пицца,Нет,Да,Да,5,Наука,Да,Несколько раз в неделю,Нет,Спортивные игры,57,Нет,4.240457513871062,Черный,Да,1
Смирнова Светлана Максимовна,II,Бургер,Да,Да,Да,1,Семья,Да,Редко,Да,Туризм,96,Нет,4.948922182856792,Синий,Да,1
Григорьева Мария Максимовна,II,Бургер,-,Да,Да,4,Путешествия,Нет,Редко,Да,Спортивные игры,81,Нет,4.647925520525743,Желтый,Да,1
Морозов Дмитрий Андреевич,III,Пицца,-,Нет,Да,3,Бизнес,Да,Ежедневно,Да,Спортивные игры,53,Нет,4.857683064374459,Синий,Да,1
Романов Сергей Сергеевич,II,Суши,Да,Нет,Да,3,Карьерный рост,Нет,Редко,Нет,Чтение,56,Да,4.018338091045949,Желтый,Да,0
Козлова Юлия Андреевна,IV,Пицца,Да,Нет,Нет,2,Путешествия,Да,Несколько раз в неделю,Да,Чтение,65,Да,4.031585460290528,Зеленый,Нет,0
Соколова Дарья Антоновна,II,Бургер,Да,Да,Нет,0,Наука,Нет,Несколько раз в неделю,Нет,Чтение,47,Нет,4.985987537784284,Желтый,Да,0
Волков Николай Антонович,II,Роллы,Да,Нет,Нет,1,Карьерный рост,Да,Несколько раз в неделю,Нет,Спортивные игры,56,Да,4.033676553368481,Желтый,Да,0
Сидоров Юрий Георгиевич,I,Роллы,Нет,Да,Да,5,Карьерный рост,Да,Редко,Да,Музыка,81,Нет,4.776596805056761,Синий,Нет,1
Романов Георгий Георгиевич,III,Пицца,-,Нет,Нет,5,Путешествия,Нет,Редко,Нет,Туризм,55,Да,4.570310811862161,Желтый,Да,0
Соколова Людмила Георгиевна,II,Суши,-,Да,Нет,1,Карьерный рост,Нет,Несколько раз в неделю,Нет,Чтение,83,Нет,4.448504611213387,Зеленый,Да,0
Лебедев Антон Олегович,I,Бургер,Нет,-,Да,5,Карьерный рост,Да,Редко,Нет,Музыка,87,Да,4.006056869718928,Черный,Да,1
Романова Ирина Викторовна,III,Бургер,-,Нет,Да,4,Бизнес,Да,Редко,Нет,Туризм,81,Да,4.972336258016603,Синий,Да,1
Сидоров Николай Егорович,I,Роллы,Нет,Нет,Нет,5,Семья,Нет,Ежедневно,Да,Чтение,41,Нет,4.591709857129056,Красный,Да,0
Григорьев Георгий Ильич,III,Суши,Да,Нет,Нет,0,Семья,Нет,Несколько раз в неделю,Да,Туризм,48,Нет,4.8204251982483886,Красный,Нет,0
Смирнова Людмила Юрьевна,III,Суши,Нет,Нет,Нет,4,Бизнес,Нет,Ежедневно,Нет,Кино,85,Нет,4.809551470219691,Синий,Нет,0
Новиков Иван Георгиевич,IV,Бургер,Нет,-,Да,4,Семья,Да,Несколько раз в неделю,-,Музыка,88,Да,4.393780365162165,Черный,Нет,1
Зайцева Анастасия Ильинична,IV,Пицца,Нет,Нет,Нет,5,Наука,Да,Несколько раз в неделю,Нет,Кино,47,Да,4.631803662955257,Черный,Нет,0
Григорьев Максим Романович,IV,Пицца,Нет,Да,Да,4,Семья,Да,Редко,Нет,Чтение,59,Да,4.641023930147422,Желтый,Да,1
Борисова Виктория Владимировна,IV,Пицца,Да,Нет,-,2,Семья,Да,Несколько раз в неделю,Нет,Туризм,79,Да,4.253938218416063,Желтый,Нет,0
Васильева Валерия Ильинична,III,Роллы,-,Да,Да,5,Карьерный рост,-,Редко,Нет,Туризм,70,Нет,4.85545093621431,Черный,Да,1
Волков Иван Романович,IV,Бургер,-,-,Нет,2,Наука,Нет,Несколько раз в неделю,Да,Кино,82,Да,4.531211134152777,Желтый,Да,1
Смирнов Сергей Олегович,II,Роллы,Да,-,Нет,1,Наука,Да,Несколько раз в неделю,Да,Туризм,68,Да,4.778862173775995,Синий,Да,1
Соколов Егор Олегович,III,Суши,Да,Нет,Нет,3,Карьерный рост,Да,Ежедневно,Да,Спортивные игры,47,Нет,4.322926967146035,Желтый,Да,0
Соловьева Светлана Викторовна,II,Салат,-,Нет,Да,1,Семья,Нет,Несколько раз в неделю,Нет,Кино,59,Нет,4.824161198734889,Желтый,Да,0
Новиков Илья Андреевич,II,Бургер,Нет,Нет,Нет,4,Карьерный рост,Нет,Редко,-,Туризм,44,Да,4.347676138786003,Желтый,Да,0
Морозова Елена Олеговна,II,Бургер,Да,Нет,-,5,Бизнес,Да,Редко,-,Спортивные игры,41,Да,4.35124905462704,Желтый,Нет,0
Григорьев Сергей Дмитриевич,III,Пицца,Да,Нет,Да,2,Путешествия,Да,Несколько раз в неделю,Нет,Кино,66,Да,4.882047342149064,Зеленый,Нет,1
Соколов Егор Павлович,II,Роллы,Нет,Да,Нет,2,Наука,Да,Несколько раз в неделю,Да,Спортивные игры,75,Нет,4.520853976799689,Желтый,Нет,1
Романов Антон Иванович,I,Бургер,Нет,Да,Нет,0,Семья,Нет,Несколько раз в неделю,Нет,Туризм,87,Да,4.432475716218129,Желтый,Нет,0
Морозова Юлия Ивановна,III,Бургер,Да,Нет,Нет,4,Карьерный рост,Нет,Ежедневно,Нет,Туризм,44,Нет,4.446824713306121,Красный,Да,0
Романов Максим Егорович,I,Суши,Да,Да,Нет,4,Наука,Нет,Несколько раз в неделю,Да,Туризм,84,Нет,4.119682354075897,Желтый,Да,1
Козлова Мария Максимовна,IV,Суши,Да,Нет,Нет,3,Карьерный рост,Нет,Несколько раз в неделю,Да,Кино,83,Да,4.195617240148425,Желтый,Нет,0
Смирнова Валерия Егоровна,IV,Бургер,-,Да,Нет,5,Бизнес,Да,Редко,Нет,Спортивные игры,40,Нет,4.125838904111252,Зеленый,Нет,0
Иванов Илья Иванович,I,Пицца,-,Да,Да,4,Бизнес,Да,Несколько раз в неделю,Да,Чтение,51,Да,4.68219640746589,Зеленый,Да,1
Иванов Владимир Артурович,IV,Суши,Да,Да,-,1,Бизнес,Да,Редко,Нет,Чтение,93,-,4.754984664773957,Черный,Да,1
Попов Владимир Алексеевич,I,Пицца,Да,Нет,Нет,3,Бизнес,Нет,Несколько раз в неделю,Да,Чтение,57,-,4.898315529765318,Черный,Да,0
Смирнов Иван Антонович,III,Роллы,Нет,Нет,Да,3,Наука,Нет,Редко,Да,Музыка,74,Да,4.977567964347107,Желтый,Нет,1
Лебедев Роман Алексеевич,II,Пицца,Нет,Да,Нет,0,Путешествия,Нет,Ежедневно,Нет,Кино,86,Нет,4.01111760540241,Синий,Нет,0
Михайлова Зоя Артуровна,II,Пицца,Нет,Да,-,5,Путешествия,Да,Редко,Нет,Кино,73,Да,4.020609558876692,Красный,Да,0
Романова Людмила Викторовна,IV,Бургер,Нет,Нет,Нет,5,Путешествия,Нет,Несколько раз в неделю,Нет,Кино,66,Нет,4.142359742959123,Желтый,Да,0
Иванов Вячеслав Вячеславович,III,Салат,Нет,Да,Да,2,Путешествия,Да,Редко,Да,Туризм,94,Да,4.47235930334648,Желтый,Да,1
Григорьев Дмитрий Романович,IV,Пицца,Нет,Да,Да,3,Семья,Нет,Несколько раз в неделю,Да,Туризм,45,Нет,4.198198214412401,Зеленый,Нет,1
Романова Ксения Викторовна,IV,Суши,Да,Да,Да,3,Путешествия,Нет,Редко,Да,Спортивные игры,87,Да,4.323293518526903,Красный,Нет,1
Козлов Дмитрий Вячеславович,II,Пицца,Нет,Да,Да,0,Карьерный рост,Да,Несколько раз в неделю,Да,Туризм,42,-,4.243626242675596,Синий,Да,1
Лебедева Ксения Георгиевна,I,Роллы,Нет,Нет,Да,5,Бизнес,Да,Несколько раз в неделю,Да,Туризм,78,Нет,4.053073320674496,Зеленый,Да,1
Соловьева Алиса Артуровна,II,Роллы,Нет,Да,Нет,5,Путешествия,Нет,Редко,Да,Чтение,55,Нет,4.340987578727689,Синий,Да,0
Михайлов Виктор Романович,III,Роллы,-,Нет,Да,3,Семья,Да,Ежедневно,-,Спортивные игры,49,Да,4.126699761463199,Желтый,Да,1
Кузнецова Юлия Павловна,IV,Роллы,Нет,Нет,Нет,1,Карьерный рост,Да,Несколько раз в неделю,Да,Спортивные игры,57,-,4.461394530156236,Синий,Нет,0
Попова Алёна Николаевна,I,Пицца,Нет,Нет,Нет,3,Бизнес,Да,Редко,Нет,Чтение,74,Да,4.948675498227079,Красный,Да,0
Федоров Сергей Юрьевич,II,Суши,Нет,Нет,Нет,5,Карьерный рост,Да,Редко,Да,Спортивные игры,52,Да,4.968010653957985,Синий,Да,0
Иванов Илья Павлович,II,Суши,Нет,Да,Нет,3,Путешествия,Нет,Ежедневно,Да,Чтение,61,Да,4.333817072528907,Синий,Да,0
Петров Николай Вячеславович,IV,Пицца,Нет,-,Нет,3,Карьерный рост,Нет,Несколько раз в неделю,Нет,Чтение,94,Да,4.737862082620625,Черный,Нет,0
Соколова Екатерина Антоновна,III,Бургер,Нет,Нет,Нет,5,Семья,Да,Несколько раз в неделю,Да,Спортивные игры,62,Нет,4.547876826326293,Красный,Да,0
Попов Иван Сергеевич,III,Пицца,Нет,Да,Нет,0,Карьерный рост,Нет,Несколько раз в неделю,Да,Кино,76,Нет,4.499225526421467,Синий,Нет,0
Григорьева Вероника Владимировна,III,Салат,Нет,Нет,Да,3,Наука,Нет,Несколько раз в неделю,Да,Спортивные игры,79,-,4.103186912090253,Зеленый,Нет,1
Михайлова Надежда Егоровна,IV,Пицца,Нет,Нет,Нет,1,Бизнес,Да,Несколько раз в неделю,Нет,Музыка,57,Нет,4.523980782813349,Зеленый,Да,0
Сидорова Алиса Павловна,I,Пицца,Нет,Да,Да,2,Наука,Нет,Редко,-,Чтение,91,Нет,4.765237763554655,Красный,Нет,1
Соловьев Георгий Вячеславович,IV,Роллы,Да,Нет,Нет,3,Бизнес,Да,Редко,Да,Спортивные игры,51,Нет,4.4312219058188,Красный,Нет,0
Федорова Алёна Ильинична,I,Бургер,Да,Нет,Да,0,Наука,Да,Несколько раз в неделю,-,Музыка,50,Да,4.738692352737575,Зеленый,Да,1
Зайцева Ксения Олеговна,IV,Пицца,Да,Нет,-,5,Наука,Нет,Ежедневно,-,Кино,74,Да,4.65576717430251,Красный,Нет,0
Соколова Ирина Артуровна,II,Роллы,Да,Да,Нет,0,Карьерный рост,Нет,Несколько раз в неделю,Да,Чтение,59,-,4.782991221480149,Черный,Нет,0
Морозов Виктор Артурович,II,Суши,Да,Нет,Нет,0,Семья,Нет,Несколько раз в неделю,Нет,Туризм,68,Нет,4.564407319224358,Красный,Нет,0
Козлова Полина Владимировна,I,Салат,Нет,Да,Да,0,Семья,Нет,Редко,Да,Музыка,62,Да,4.1631935087750085,Красный,Нет,1
Федоров Иван Павлович,II,Роллы,Да,Нет,Да,0,Бизнес,Да,Редко,Да,Спортивные игры,78,Нет,4.989466710010446,Зеленый,Нет,1
Борисов Максим Романович,II,Пицца,Да,Да,Нет,3,Карьерный рост,-,Несколько раз в неделю,Да,Чтение,69,Да,4.930858176179531,Зеленый,Да,1
Петров Юрий Вячеславович,I,Бургер,Да,Нет,Нет,2,Бизнес,Да,Несколько раз в неделю,Нет,Чтение,56,Нет,4.952133736107361,Зеленый,Да,0
Григорьева Мария Андреевна,I,Роллы,Да,Да,-,1,Наука,Да,Редко,Нет,Кино,89,Нет,4.16893510326581,Желтый,Нет,1
Иванов Дмитрий Дмитриевич,IV,Бургер,Да,Нет,Нет,1,Карьерный рост,Нет,Несколько раз в неделю,Нет,Музыка,54,Нет,4.517542646919718,Красный,Нет,0
Зайцев Сергей Антонович,II,Салат,-,Да,Да,0,Путешествия,-,Редко,-,Чтение,90,Нет,4.2541229380455485,Желтый,Нет,1
Лебедев Иван Сергеевич,II,Салат,Нет,Нет,Нет,1,Путешествия,-,Несколько раз в неделю,Да,Чтение,95,Да,4.719404076800311,Желтый,Да,1
Попов Владимир Вячеславович,III,Суши,Нет,Да,Да,3,Семья,Да,Редко,Нет,Туризм,64,Нет,4.8899489814888,Синий,Нет,1
Сидорова Полина Сергеевна,IV,Суши,Нет,Нет,-,5,Наука,Да,Несколько раз в неделю,Да,Музыка,40,Нет,4.132428297591003,Красный,Да,1
Петрова Ольга Владимировна,I,Суши,Да,-,Да,5,Наука,Да,Ежедневно,-,Музыка,87,Нет,4.5521377890604,Желтый,Нет,1
Козлов Роман Константинович,II,Суши,Да,Да,Нет,0,Карьерный рост,Нет,Редко,Да,Кино,40,-,4.125911257651809,Желтый,Нет,0
Иванов Егор Олегович,IV,Роллы,Да,Нет,Да,2,Карьерный рост,Да,Несколько раз в неделю,Да,Спортивные игры,48,Нет,4.907975254444608,Желтый,Нет,1
Зайцев Олег Владимирович,III,Роллы,Да,Нет,Да,5,Путешествия,Нет,Ежедневно,-,Музыка,53,Нет,4.925572737073988,Красный,Нет,1
Федорова Ирина Константиновна,II,Бургер,Нет,Нет,Да,5,Бизнес,Да,Редко,Нет,Туризм,85,Да,4.357585249222494,Синий,Нет,1
Иванов Илья Викторович,II,Бургер,-,-,Нет,1,Путешествия,Нет,Несколько раз в неделю,Нет,Кино,88,Нет,4.356608921624467,Синий,Нет,0
Романова Мария Алексеевна,II,Бургер,Нет,Да,-,2,Семья,Да,Несколько раз в неделю,-,Кино,97,Нет,4.832596911522806,Черный,Нет,0
Попов Дмитрий Артурович,I,Суши,Нет,Нет,Да,1,Бизнес,Нет,Ежедневно,Нет,Музыка,60,Да,4.121128600192368,Синий,Да,0
Новикова Алиса Максимовна,III,Пицца,Да,Нет,Да,0,Бизнес,Нет,Ежедневно,Нет,Туризм,41,Да,4.762976272770587,Черный,Да,0
Васильев Алексей Павлович,I,Суши,Нет,Нет,Нет,4,Семья,Да,Несколько раз в неделю,Нет,Музыка,69,-,4.064903093309438,Черный,Да,0
Борисова Ирина Дмитриевна,I,Салат,Нет,-,Нет,1,Бизнес,-,Несколько раз в неделю,Нет,Чтение,86,Да,4.100614536464201,Желтый,Нет,0
Попова Светлана Николаевна,I,Пицца,Нет,Нет,Да,4,Наука,-,Редко,Нет,Спортивные игры,93,Нет,4.430263353119041,Зеленый,Да,1
Романов Алексей Антонович,II,Суши,Да,Да,Да,5,Карьерный рост,Да,Несколько раз в неделю,Да,Чтение,42,Нет,4.676538844789218,Красный,Да,1
Попова Анастасия Вячеславовна,II,Бургер,-,Нет,Да,0,Бизнес,Да,Редко,Нет,Чтение,93,Нет,4.334265504257309,Желтый,Нет,1
Григорьева Елена Юрьевна,IV,Суши,-,Да,Да,0,Карьерный рост,Да,Редко,Да,Спортивные игры,97,Нет,4.994047619693768,Черный,Нет,1
Смирнова Вероника Артуровна,II,Салат,Да,Нет,-,0,Семья,Да,Редко,Да,Чтение,68,Нет,4.043326350375911,Красный,Нет,0
Михайлов Антон Егорович,I,Суши,Нет,-,Да,4,Наука,Да,Несколько раз в неделю,Нет,Музыка,64,Нет,4.261922880220463,Зеленый,Нет,0
Новикова Анастасия Юрьевна,III,Роллы,-,Да,Да,1,Карьерный рост,Нет,Ежедневно,Да,Спортивные игры,57,Нет,4.83447202140241,Черный,Да,1
